transport_infrastructure,country,nuts_2,year,value,unit
motorways,FR,FRM0,2009,0,KM
motorways,FR,FRY1,2009,,KM
motorways,FR,FRY2,2009,0,KM
motorways,FR,FRY3,2009,0,KM
motorways,FR,FRY4,2009,0,KM
motorways,FR,FRY5,2009,,KM
motorways,HR,HR03,2009,604,KM
motorways,HR,HR04,2009,640,KM
motorways,HU,HU11,2009,,KM
motorways,HU,HU12,2009,,KM
motorways,HU,HU21,2009,254,KM
motorways,HU,HU22,2009,166,KM
motorways,HU,HU23,2009,125,KM
motorways,HU,HU31,2009,173,KM
motorways,HU,HU32,2009,132,KM
motorways,HU,HU33,2009,143,KM
motorways,IE,IE04,2009,,KM
motorways,IE,IE05,2009,,KM
motorways,IE,IE06,2009,,KM
motorways,IT,ITC1,2009,817,KM
motorways,IT,ITC2,2009,114,KM
motorways,IT,ITC3,2009,375,KM
motorways,IT,ITC4,2009,587,KM
motorways,IT,ITF1,2009,352,KM
motorways,IT,ITF2,2009,36,KM
motorways,IT,ITF3,2009,442,KM
motorways,IT,ITF4,2009,313,KM
motorways,IT,ITF5,2009,29,KM
motorways,IT,ITF6,2009,295,KM
motorways,IT,ITG1,2009,654,KM
motorways,IT,ITG2,2009,,KM
motorways,IT,ITH1,2009,211,KM
motorways,IT,ITH3,2009,525,KM
motorways,IT,ITH4,2009,210,KM
motorways,IT,ITH5,2009,568,KM
motorways,IT,ITI1,2009,436,KM
motorways,IT,ITI2,2009,59,KM
motorways,IT,ITI3,2009,168,KM
motorways,IT,ITI4,2009,470,KM
motorways,LI,LI00,2009,: z,KM
motorways,LT,LT01,2009,,KM
motorways,LT,LT02,2009,,KM
motorways,LU,LU00,2009,152,KM
motorways,LV,LV00,2009,0,KM
motorways,MT,MT00,2009,: z,KM
motorways,NL,NL11,2009,93,KM
motorways,NL,NL12,2009,193,KM
motorways,NL,NL13,2009,128,KM
motorways,NL,NL21,2009,147,KM
motorways,NL,NL22,2009,393,KM
motorways,NL,NL23,2009,99,KM
motorways,NL,NL31,2009,177,KM
motorways,NL,NL32,2009,283,KM
motorways,NL,NL33,2009,353,KM
motorways,NL,NL34,2009,65,KM
motorways,NL,NL41,2009,483,KM
motorways,NL,NL42,2009,219,KM
motorways,NO,NO01,2009,119,KM
motorways,NO,NO02,2009,0,KM
motorways,NO,NO03,2009,151,KM
motorways,NO,NO04,2009,63,KM
motorways,NO,NO05,2009,11,KM
motorways,NO,NO06,2009,0,KM
motorways,NO,NO07,2009,0,KM
